,Dataset,QuaMethod,Classifier,QFY,MA,KFMA,best_method
0,bike,DyS,LR,0.21133985115951548,0.1916186036599701,0.19184342768643206,MA
1,bike,DyS,RF,0.262235668351995,0.20543698166557117,0.1871404980683345,KFMA
2,bike,ACC,LR,0.17799102489533733,0.1671415781989891,0.16671799500497178,KFMA
3,bike,ACC,RF,0.244322151193925,0.18863600699653021,0.18433058277488962,KFMA
4,bike,GPAC,LR,0.19815645981539884,0.18575927667335349,0.1885406012806132,MA
5,bike,GPAC,RF,0.2648463336811842,0.2163850952715855,0.21342438058490504,KFMA
6,bike,EDy,LR,0.18272441023128563,0.17263729158401198,0.17251159162929558,KFMA
7,bike,EDy,RF,0.2603666313419457,0.2111375327460881,0.20872975004731847,KFMA
8,energy,DyS,LR,0.28127568678867915,0.22849925909284202,0.20888827930993475,KFMA
9,energy,DyS,RF,0.25747073872718756,0.2259397132801504,0.18574760331192455,KFMA
10,energy,ACC,LR,0.3294019543536727,0.3136259682491504,0.30410442453577025,KFMA
11,energy,ACC,RF,0.3178531579673299,0.25305309395875847,0.18985568930727884,KFMA
12,energy,GPAC,LR,0.34420681989145724,0.28666288646684024,0.26108546798052634,KFMA
13,energy,GPAC,RF,0.43779333841834844,0.39062086478450536,0.35688439413124845,KFMA
14,energy,EDy,LR,0.3280985635783321,0.2769281758290418,0.2514298625086689,KFMA
15,energy,EDy,RF,0.43054841950443257,0.3788383586382169,0.3306603622486639,KFMA
16,news,DyS,LR,0.21428298485937658,0.1693531875748637,0.15147597345114283,KFMA
17,news,DyS,RF,0.2281625889109576,0.19509409516202006,0.18053474638127376,KFMA
18,news,ACC,LR,0.3252504046213797,0.2208127785839688,0.09599516364299969,KFMA
19,news,ACC,RF,0.22476310555804874,0.2176810673013831,0.21616433239989408,KFMA
20,news,GPAC,LR,0.2242937266589135,0.1802811266188791,0.15970465464460634,KFMA
21,news,GPAC,RF,0.19806729612994103,0.17315928987425092,0.16369773501075438,KFMA
22,news,EDy,LR,0.21747998879819957,0.17346074084774582,0.1532390228408938,KFMA
23,news,EDy,RF,0.20391050113096926,0.17793360689673518,0.16956041687256096,KFMA
