,0,1
0,0.395,0.605
1,0.2233,0.7767
2,0.395,0.605
3,0.0,1.0
4,0.0,1.0
5,0.1803,0.8197
6,0.5667,0.4333
7,0.4808,0.5192
8,0.0,1.0
9,0.3521,0.6479
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,0.395,0.605
14,0.2662,0.7338
15,0.3092,0.6908
16,0.7812,0.2188
17,0.0,1.0
18,0.0,1.0
19,0.6096,0.3904
20,0.2662,0.7338
21,0.3521,0.6479
22,0.2662,0.7338
23,0.824,0.176
24,0.0,1.0
25,0.7383,0.2617
26,0.3975,0.6025
27,0.4808,0.5192
28,0.1373,0.8627
29,0.6096,0.3904
30,0.9098,0.0902
31,0.9882,0.0118
32,0.8131,0.1869
33,0.4808,0.5192
34,0.5502,0.4498
35,0.6096,0.3904
36,0.2233,0.7767
37,0.5667,0.4333
38,0.9098,0.0902
39,0.867,0.133
40,0.5238,0.4762
41,0.7812,0.2188
42,0.5238,0.4762
43,0.2233,0.7767
44,0.867,0.133
45,0.5238,0.4762
46,0.2233,0.7767
47,0.5667,0.4333
48,0.6954,0.3046
49,0.9098,0.0902
50,0.0,1.0
51,0.1373,0.8627
52,0.6379,0.3621
53,0.2662,0.7338
54,0.5667,0.4333
55,0.6954,0.3046
56,0.7383,0.2617
57,0.7383,0.2617
58,0.6096,0.3904
59,0.3521,0.6479
60,0.5238,0.4762
61,0.6096,0.3904
62,0.5667,0.4333
63,0.6954,0.3046
64,0.5238,0.4762
65,0.438,0.562
66,0.7812,0.2188
67,0.824,0.176
68,0.5667,0.4333
69,0.9955,0.0045
70,0.5667,0.4333
71,0.3521,0.6479
72,0.5502,0.4498
73,0.824,0.176
74,0.5238,0.4762
75,0.867,0.133
76,0.9098,0.0902
77,0.824,0.176
78,0.824,0.176
79,0.9098,0.0902
80,0.7383,0.2617
81,0.5238,0.4762
82,0.9098,0.0902
83,0.6525,0.3475
84,0.6954,0.3046
85,0.6096,0.3904
86,0.8016,0.1984
87,0.9007,0.0993
88,0.6954,0.3046
89,0.3521,0.6479
90,0.9444,0.0556
91,0.867,0.133
92,0.1803,0.8197
93,0.9098,0.0902
94,0.7693,0.2307
95,0.824,0.176
96,1.0,0.0
97,1.0,0.0
98,0.9098,0.0902
99,1.0,0.0
100,1.0,0.0
101,0.867,0.133
102,0.7812,0.2188
103,0.9098,0.0902
104,0.6954,0.3046
105,0.438,0.562
106,0.7812,0.2188
107,0.9444,0.0556
108,0.867,0.133
109,0.867,0.133
110,1.0,0.0
111,0.7812,0.2188
112,0.824,0.176
113,0.3092,0.6908
114,0.9882,0.0118
115,0.6817,0.3183
116,0.438,0.562
117,0.7812,0.2188
118,0.6525,0.3475
119,0.6817,0.3183
120,0.1373,0.8627
121,0.6954,0.3046
122,0.6096,0.3904
123,0.2662,0.7338
124,0.4626,0.5374
125,0.3521,0.6479
126,0.0,1.0
127,0.4808,0.5192
128,0.824,0.176
129,0.824,0.176
130,0.4808,0.5192
131,0.824,0.176
132,0.7383,0.2617
133,0.438,0.562
134,0.0944,0.9056
135,0.5941,0.4059
136,0.0,1.0
137,0.1373,0.8627
138,0.0,1.0
139,0.4808,0.5192
140,0.5064,0.4936
141,0.0084,0.9916
142,0.1373,0.8627
143,0.0,1.0
144,0.2233,0.7767
145,0.867,0.133
146,0.6525,0.3475
147,0.1373,0.8627
148,0.395,0.605
149,0.5238,0.4762
150,0.438,0.562
151,0.6096,0.3904
152,0.6525,0.3475
153,0.7383,0.2617
154,0.438,0.562
155,0.0,1.0
156,0.4808,0.5192
157,0.5238,0.4762
158,0.0944,0.9056
159,0.0,1.0
160,0.7812,0.2188
161,0.6525,0.3475
162,0.6096,0.3904
163,0.7383,0.2617
164,0.2662,0.7338
165,0.3521,0.6479
166,0.0,1.0
167,0.4808,0.5192
168,0.2233,0.7767
169,0.0,1.0
170,0.438,0.562
171,0.395,0.605
172,0.0,1.0
173,0.0,1.0
174,0.5238,0.4762
175,0.0514,0.9486
176,0.0084,0.9916
177,0.2662,0.7338
