,0,1
0,0.0,1.0
1,0.1393,0.8607
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0721,0.9279
6,0.0118,0.9882
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,0.0,1.0
14,0.2262,0.7738
15,0.1558,0.8442
16,0.0315,0.9685
17,0.0,1.0
18,0.0,1.0
19,0.3739,0.6261
20,0.1526,0.8474
21,0.0,1.0
22,0.2827,0.7173
23,0.1294,0.8706
24,0.0,1.0
25,0.0,1.0
26,0.2778,0.7222
27,0.0515,0.9485
28,0.0,1.0
29,0.3062,0.6938
30,0.5267,0.4733
31,0.7912,0.2088
32,0.4436,0.5564
33,0.2929,0.7071
34,0.1035,0.8965
35,0.0914,0.9086
36,0.4691,0.5309
37,0.4904,0.5096
38,0.4202,0.5798
39,0.4842,0.5158
40,0.4414,0.5586
41,0.3447,0.6553
42,0.3329,0.6671
43,0.5811,0.4189
44,0.9194,0.0806
45,0.3334,0.6666
46,0.2426,0.7574
47,0.427,0.573
48,0.5594,0.4406
49,0.6746,0.3254
50,0.466,0.534
51,0.4005,0.5995
52,0.5641,0.4359
53,0.3778,0.6222
54,0.5998,0.4002
55,0.4709,0.5291
56,0.5825,0.4175
57,0.9169,0.0831
58,0.6652,0.3348
59,0.4594,0.5406
60,0.4849,0.5151
61,0.6688,0.3312
62,0.5037,0.4963
63,0.6396,0.3604
64,0.7919,0.2081
65,0.4967,0.5033
66,0.7431,0.2569
67,0.6912,0.3088
68,0.656,0.344
69,0.97,0.03
70,0.7343,0.2657
71,0.5573,0.4427
72,0.4839,0.5161
73,0.7224,0.2776
74,0.5452,0.4548
75,0.7343,0.2657
76,0.796,0.204
77,0.8725,0.1275
78,0.6877,0.3123
79,0.8326,0.1674
80,0.6319,0.3681
81,0.6296,0.3704
82,0.8892,0.1108
83,0.6262,0.3738
84,0.6895,0.3105
85,0.6531,0.3469
86,0.9069,0.0931
87,0.7934,0.2066
88,0.6629,0.3371
89,0.7973,0.2027
90,1.0,0.0
91,0.9276,0.0724
92,0.7082,0.2918
93,0.9826,0.0174
94,0.9016,0.0984
95,0.785,0.215
96,1.0,0.0
97,0.971,0.029
98,0.9509,0.0491
99,0.9995,0.0005
100,1.0,0.0
101,0.7904,0.2096
102,0.7575,0.2425
103,0.9372,0.0628
104,0.7467,0.2533
105,0.5173,0.4827
106,0.7225,0.2775
107,0.7152,0.2848
108,0.6877,0.3123
109,0.6414,0.3586
110,0.9965,0.0035
111,0.6141,0.3859
112,0.6889,0.3111
113,0.5355,0.4645
114,0.9283,0.0717
115,0.5249,0.4751
116,0.4997,0.5003
117,0.7543,0.2457
118,0.5085,0.4915
119,0.5508,0.4492
120,0.5968,0.4032
121,0.7716,0.2284
122,0.4625,0.5375
123,0.3197,0.6803
124,0.5927,0.4073
125,0.3296,0.6704
126,0.0,1.0
127,0.478,0.522
128,0.4233,0.5767
129,0.1514,0.8486
130,0.0425,0.9575
131,0.7316,0.2684
132,0.3946,0.6054
133,0.251,0.749
134,0.5707,0.4293
135,0.5952,0.4048
136,0.3329,0.6671
137,0.4233,0.5767
138,0.4715,0.5285
139,0.3978,0.6022
140,0.5572,0.4428
141,0.4262,0.5738
142,0.502,0.498
143,0.4732,0.5268
144,0.3352,0.6648
145,0.7846,0.2154
146,0.6847,0.3153
147,0.4541,0.5459
148,0.5384,0.4616
149,0.5613,0.4387
150,0.2852,0.7148
151,0.3197,0.6803
152,0.4964,0.5036
153,0.4755,0.5245
154,0.4333,0.5667
155,0.2866,0.7134
156,0.5017,0.4983
157,0.3932,0.6068
158,0.0421,0.9579
159,0.3197,0.6803
160,0.4944,0.5056
161,0.2419,0.7581
162,0.0316,0.9684
163,0.4232,0.5768
164,0.2852,0.7148
165,0.2082,0.7918
166,0.3247,0.6753
167,0.3562,0.6438
168,0.1886,0.8114
169,0.0,1.0
170,0.0,1.0
171,0.3674,0.6326
172,0.0,1.0
173,0.2557,0.7443
174,0.3691,0.6309
175,0.0,1.0
176,0.1314,0.8686
177,0.01,0.99
178,0.0,1.0
179,0.0,1.0
180,0.1877,0.8123
181,0.0,1.0
182,0.1842,0.8158
183,0.0,1.0
184,0.2506,0.7494
185,0.0939,0.9061
186,0.0,1.0
187,0.2072,0.7928
188,0.0,1.0
189,0.0343,0.9657
190,0.6326,0.3674
191,0.2424,0.7576
192,0.0,1.0
193,0.0,1.0
194,0.0123,0.9877
195,0.0,1.0
196,0.0,1.0
197,0.0,1.0
198,0.0517,0.9483
199,0.0,1.0
200,0.1281,0.8719
201,0.295,0.705
202,0.0179,0.9821
203,0.0,1.0
204,0.2798,0.7202
205,0.435,0.565
206,0.0,1.0
207,0.0,1.0
208,0.4941,0.5059
209,0.0,1.0
210,0.0,1.0
211,0.0771,0.9229
212,0.5626,0.4374
213,0.0,1.0
214,0.0219,0.9781
215,0.4233,0.5767
216,0.1934,0.8066
217,0.1082,0.8918
218,0.1443,0.8557
219,0.3514,0.6486
220,0.4474,0.5526
221,0.1636,0.8364
222,0.3295,0.6705
223,0.3047,0.6953
224,0.2422,0.7578
225,0.4027,0.5973
226,0.5022,0.4978
227,0.5153,0.4847
228,0.1726,0.8274
229,0.6998,0.3002
230,0.7417,0.2583
231,0.3552,0.6448
232,0.4925,0.5075
233,0.5106,0.4894
234,0.3976,0.6024
235,0.3661,0.6339
236,0.4699,0.5301
237,0.3737,0.6263
238,0.2975,0.7025
239,0.448,0.552
240,0.933,0.067
241,0.7228,0.2772
242,0.6322,0.3678
243,0.7826,0.2174
244,0.6461,0.3539
245,0.6269,0.3731
246,0.5172,0.4828
247,0.7162,0.2838
248,0.687,0.313
249,0.5683,0.4317
250,0.7028,0.2972
251,0.614,0.386
252,0.7183,0.2817
253,0.6445,0.3555
254,0.7343,0.2657
255,0.7551,0.2449
256,0.5901,0.4099
257,0.8357,0.1643
258,0.4554,0.5446
259,0.5961,0.4039
260,0.7543,0.2457
261,0.9113,0.0887
262,0.6871,0.3129
263,0.588,0.412
264,0.796,0.204
265,0.658,0.342
266,0.6734,0.3266
267,0.8122,0.1878
268,0.9203,0.0797
269,1.0,0.0
270,0.7781,0.2219
271,0.9417,0.0583
272,0.912,0.088
