,0,1
0,0.3164,0.6836
1,0.4509,0.5491
2,0.1208,0.8792
3,0.3072,0.6928
4,0.348,0.652
5,0.3269,0.6731
6,0.1537,0.8463
7,0.1194,0.8806
8,0.5317,0.4683
9,0.0569,0.9431
10,0.2649,0.7351
11,0.1781,0.8219
12,0.2543,0.7457
13,0.3024,0.6976
14,0.1818,0.8182
15,0.1777,0.8223
16,0.1848,0.8152
17,0.0,1.0
18,0.1397,0.8603
19,0.4972,0.5028
20,0.3633,0.6367
21,0.5012,0.4988
22,0.3902,0.6098
23,0.5708,0.4292
24,0.2915,0.7085
25,0.4088,0.5912
26,0.4118,0.5882
27,0.274,0.726
28,0.6671,0.3329
29,0.4949,0.5051
30,0.1554,0.8446
31,0.1601,0.8399
32,0.0,1.0
33,0.3135,0.6865
34,0.3672,0.6328
35,0.0,1.0
36,0.376,0.624
37,0.4826,0.5174
38,0.3308,0.6692
39,0.4797,0.5203
40,0.0219,0.9781
41,0.2234,0.7766
42,0.0368,0.9632
43,0.3611,0.6389
44,0.0,1.0
45,0.3799,0.6201
46,0.5396,0.4604
47,0.0,1.0
48,0.0862,0.9138
49,0.0,1.0
50,0.0677,0.9323
51,0.1568,0.8432
52,0.0,1.0
53,0.0,1.0
54,0.0,1.0
55,0.0751,0.9249
56,0.0,1.0
57,0.2194,0.7806
58,0.2723,0.7277
59,0.0739,0.9261
60,0.0,1.0
61,0.2763,0.7237
62,0.6812,0.3188
63,0.0,1.0
64,0.2375,0.7625
65,0.0,1.0
66,0.1706,0.8294
67,0.0,1.0
68,0.0194,0.9806
69,0.0,1.0
70,0.0,1.0
71,0.008,0.992
72,0.2811,0.7189
73,0.6162,0.3838
74,0.2116,0.7884
75,0.0,1.0
76,0.4485,0.5515
77,0.3161,0.6839
78,0.6099,0.3901
79,0.2768,0.7232
80,0.4379,0.5621
81,0.6162,0.3838
82,0.4658,0.5342
83,0.7592,0.2408
84,0.3079,0.6921
85,0.2818,0.7182
86,0.3232,0.6768
87,0.2609,0.7391
88,0.7617,0.2383
89,0.5776,0.4224
90,0.6553,0.3447
91,0.7831,0.2169
92,0.6525,0.3475
93,0.1421,0.8579
94,0.757,0.243
95,0.676,0.324
96,0.4386,0.5614
97,1.0,0.0
98,0.7234,0.2766
99,0.7347,0.2653
100,0.9135,0.0865
101,0.8367,0.1633
102,0.8134,0.1866
103,0.5641,0.4359
104,0.8445,0.1555
105,0.553,0.447
106,0.819,0.181
107,0.5117,0.4883
108,0.6288,0.3712
109,0.8455,0.1545
110,0.6248,0.3752
111,0.7819,0.2181
112,0.6459,0.3541
113,0.5183,0.4817
114,0.6069,0.3931
115,0.8983,0.1017
116,0.7919,0.2081
117,0.8473,0.1527
118,0.9796,0.0204
119,0.7879,0.2121
120,0.9211,0.0789
121,0.3222,0.6778
122,1.0,0.0
123,0.7169,0.2831
124,0.5308,0.4692
125,0.6798,0.3202
126,0.1482,0.8518
127,0.4472,0.5528
128,0.0493,0.9507
129,0.103,0.897
130,0.1819,0.8181
131,0.3059,0.6941
132,0.673,0.327
133,0.0,1.0
134,0.6297,0.3703
135,0.0,1.0
136,0.3163,0.6837
137,0.0,1.0
138,0.5371,0.4629
139,0.7605,0.2395
140,0.0,1.0
141,0.2058,0.7942
142,0.0,1.0
143,0.0,1.0
144,0.2782,0.7218
145,0.0439,0.9561
146,0.3536,0.6464
147,0.3933,0.6067
148,0.2277,0.7723
149,0.0,1.0
150,0.2928,0.7072
151,0.2634,0.7366
152,0.0,1.0
153,0.0,1.0
154,0.0,1.0
155,0.0,1.0
156,0.0,1.0
157,0.0,1.0
158,0.0,1.0
159,0.0491,0.9509
160,0.1169,0.8831
161,0.0,1.0
162,0.1687,0.8313
163,0.0867,0.9133
164,0.4199,0.5801
165,0.1811,0.8189
166,0.0,1.0
167,0.0,1.0
168,0.0,1.0
169,0.0,1.0
170,0.0,1.0
171,0.0,1.0
172,0.0,1.0
173,0.0,1.0
174,0.0,1.0
175,0.0,1.0
176,0.0,1.0
177,0.0,1.0
178,0.0,1.0
179,0.0,1.0
180,0.0,1.0
181,0.0,1.0
182,0.0,1.0
183,0.9164,0.0836
184,1.0,0.0
