,0,1
0,0.87,0.13
1,0.6074,0.3926
2,0.4192,0.5808
3,0.4734,0.5266
4,0.6177,0.3823
5,0.4601,0.5399
6,0.6581,0.3419
7,0.749,0.251
8,0.4877,0.5123
9,0.7229,0.2771
10,0.6693,0.3307
11,0.5762,0.4238
12,1.0,0.0
13,0.7453,0.2547
14,0.4633,0.5367
15,0.4722,0.5278
16,0.7906,0.2094
17,0.5255,0.4745
18,0.6667,0.3333
19,0.7694,0.2306
20,0.89,0.11
21,0.6539,0.3461
22,0.8654,0.1346
23,0.6368,0.3632
24,0.6623,0.3377
25,0.9127,0.0873
26,0.6454,0.3546
27,0.8177,0.1823
28,0.6533,0.3467
29,1.0,0.0
30,0.8923,0.1077
31,0.741,0.259
32,0.8284,0.1716
33,1.0,0.0
34,1.0,0.0
35,0.7554,0.2446
36,1.0,0.0
37,0.9835,0.0165
38,0.9062,0.0938
39,1.0,0.0
40,1.0,0.0
41,1.0,0.0
42,1.0,0.0
43,1.0,0.0
44,0.9242,0.0758
45,0.9263,0.0737
46,0.9928,0.0072
47,0.8324,0.1676
48,0.6272,0.3728
49,0.8073,0.1927
50,0.8819,0.1181
51,0.8165,0.1835
52,0.7663,0.2337
53,1.0,0.0
54,0.7703,0.2297
55,0.835,0.165
56,0.5951,0.4049
57,1.0,0.0
58,0.6544,0.3456
59,0.6074,0.3926
60,0.8455,0.1545
61,0.5938,0.4062
62,0.6395,0.3605
63,0.6792,0.3208
64,0.9257,0.0743
65,0.5414,0.4586
66,0.4665,0.5335
67,0.5966,0.4034
68,0.407,0.593
69,0.2943,0.7057
70,0.5214,0.4786
71,0.4943,0.5057
72,0.3914,0.6086
73,0.2252,0.7748
74,0.6647,0.3353
75,0.418,0.582
76,0.3099,0.6901
77,0.4962,0.5038
78,0.4424,0.5576
79,0.2509,0.7491
80,0.3129,0.6871
81,0.3265,0.6735
82,0.3407,0.6593
83,0.4463,0.5537
84,0.2922,0.7078
85,0.3552,0.6448
86,0.3435,0.6565
87,0.295,0.705
88,0.6863,0.3137
89,0.6303,0.3697
90,0.3457,0.6543
91,0.4192,0.5808
92,0.4118,0.5882
93,0.3342,0.6658
94,0.3065,0.6935
95,0.4143,0.5857
96,0.4382,0.5618
97,0.4169,0.5831
98,0.259,0.741
99,0.4608,0.5392
100,0.3613,0.6387
101,0.148,0.852
102,0.2637,0.7363
103,0.4473,0.5527
104,0.2903,0.7097
105,0.1012,0.8988
106,0.3684,0.6316
107,0.2578,0.7422
108,0.2061,0.7939
109,0.2815,0.7185
110,0.3546,0.6454
111,0.2282,0.7718
112,0.0184,0.9816
113,0.1047,0.8953
114,0.3198,0.6802
115,0.0671,0.9329
116,0.2661,0.7339
117,0.3775,0.6225
118,0.0,1.0
119,0.1667,0.8333
120,0.1702,0.8298
121,0.1136,0.8864
122,0.0152,0.9848
123,0.2386,0.7614
124,0.0893,0.9107
125,0.1431,0.8569
126,0.0,1.0
127,0.2227,0.7773
128,0.2535,0.7465
129,0.0627,0.9373
130,0.2834,0.7166
131,0.0738,0.9262
132,0.0707,0.9293
133,0.589,0.411
134,0.311,0.689
135,0.0,1.0
136,0.0,1.0
137,0.1805,0.8195
138,0.1828,0.8172
139,0.0768,0.9232
140,0.0,1.0
141,0.1976,0.8024
142,0.0074,0.9926
143,0.1989,0.8011
144,0.318,0.682
145,0.1678,0.8322
146,0.0282,0.9718
147,0.3318,0.6682
148,0.4672,0.5328
149,0.2571,0.7429
150,0.1535,0.8465
151,0.4655,0.5345
152,0.1994,0.8006
153,0.0742,0.9258
154,0.1664,0.8336
155,0.4895,0.5105
156,0.1067,0.8933
157,0.1489,0.8511
158,0.3793,0.6207
159,0.3108,0.6892
160,0.255,0.745
161,0.2797,0.7203
162,0.3718,0.6282
163,0.4602,0.5398
164,0.2842,0.7158
165,0.355,0.645
166,0.3601,0.6399
167,0.3368,0.6632
168,0.394,0.606
169,0.4942,0.5058
170,0.5084,0.4916
171,0.2865,0.7135
172,0.6468,0.3532
173,0.7863,0.2137
174,0.3905,0.6095
175,0.4154,0.5846
176,0.4895,0.5105
177,0.4299,0.5701
178,0.4092,0.5908
179,0.3967,0.6033
180,0.3822,0.6178
181,0.3867,0.6133
182,0.4078,0.5922
183,0.9242,0.0758
184,0.7627,0.2373
185,0.6106,0.3894
186,0.7039,0.2961
187,0.6546,0.3454
188,0.6759,0.3241
189,0.4473,0.5527
190,0.6352,0.3648
191,0.6845,0.3155
192,0.5699,0.4301
193,0.6406,0.3594
194,0.6535,0.3465
195,0.6564,0.3436
196,0.6626,0.3374
197,0.7422,0.2578
198,0.7719,0.2281
199,0.5584,0.4416
200,0.9598,0.0402
201,0.4439,0.5561
202,0.604,0.396
203,0.7196,0.2804
204,0.9088,0.0912
205,0.7146,0.2854
206,0.5558,0.4442
207,0.7643,0.2357
208,0.6735,0.3265
209,0.6657,0.3343
210,0.917,0.083
211,1.0,0.0
212,1.0,0.0
213,0.889,0.111
214,1.0,0.0
215,1.0,0.0
