,0,1
0,0.6197,0.3803
1,0.5761,0.4239
2,0.5682,0.4318
3,0.6861,0.3139
4,0.7388,0.2612
5,0.5492,0.4508
6,0.48,0.52
7,1.0,0.0
8,1.0,0.0
9,0.893,0.107
10,0.8608,0.1392
11,0.4658,0.5342
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,0.8949,0.1051
16,0.7898,0.2102
17,0.7426,0.2574
18,0.575,0.425
19,0.5424,0.4576
20,1.0,0.0
21,0.694,0.306
22,0.9807,0.0193
23,0.4029,0.5971
24,0.7001,0.2999
25,0.8989,0.1011
26,1.0,0.0
27,0.591,0.409
28,0.5912,0.4088
29,0.5778,0.4222
30,0.5224,0.4776
31,0.4597,0.5403
32,0.4597,0.5403
33,1.0,0.0
34,0.5689,0.4311
35,0.7465,0.2535
36,0.7744,0.2256
37,0.628,0.372
38,0.5241,0.4759
39,0.5021,0.4979
40,0.4304,0.5696
41,0.3758,0.6242
42,0.1988,0.8012
43,0.5027,0.4973
44,1.0,0.0
45,1.0,0.0
46,0.4627,0.5373
47,0.5767,0.4233
48,0.4347,0.5653
49,0.8854,0.1146
50,0.6396,0.3604
51,0.4237,0.5763
52,0.3972,0.6028
53,0.3269,0.6731
54,0.3592,0.6408
55,0.2686,0.7314
56,0.164,0.836
57,0.231,0.769
58,0.0,1.0
59,0.0,1.0
60,0.6452,0.3548
61,0.4373,0.5627
62,0.3859,0.6141
63,0.4818,0.5182
64,0.42,0.58
65,0.3365,0.6635
66,0.3945,0.6055
67,0.0892,0.9108
68,0.3816,0.6184
69,0.3384,0.6616
70,0.3765,0.6235
71,0.4008,0.5992
72,0.3509,0.6491
73,0.6844,0.3156
74,0.6082,0.3918
75,0.4215,0.5785
76,0.0,1.0
77,0.1007,0.8993
